,Year,Country,freedom,Protest_Name,Motivations,Peak_Size
6976,1999,Belarus,Not free,removal of politician,"political behavior, process",3500-5000
6977,1999,Belarus,Not free,"political behavior, process",,4000
6978,1999,Belarus,Not free,removal of politician,"political behavior, process",20000
6979,1999,Belarus,Not free,"political behavior, process",removal of politician,2000
6980,2000,Belarus,Not free,"price increases, tax policy",,1000s
6981,2000,Belarus,Not free,"political behavior, process",,20000
6982,2000,Belarus,Not free,"political behavior, process",,1000s
6983,2000,Belarus,Not free,"political behavior, process",removal of politician,7000
6984,2000,Belarus,Not free,"political behavior, process",,500
6985,2000,Belarus,Not free,"political behavior, process",removal of politician,4000
6986,2001,Belarus,Not free,"political behavior, process",,100
6987,2001,Belarus,Not free,"political behavior, process",,1000s
6988,2002,Belarus,Not free,"political behavior, process",,1000
6989,2002,Belarus,Not free,"political behavior, process",,>50
6990,2002,Belarus,Not free,"political behavior, process",,50
6991,2002,Belarus,Not free,labor wage dispute,"political behavior, process",100s
6992,2002,Belarus,Not free,"political behavior, process",,150
6993,2003,Belarus,Not free,"political behavior, process",,100s
6994,2004,Belarus,Not free,"political behavior, process",,193
6995,2004,Belarus,Not free,"political behavior, process",,1000
6996,2005,Belarus,Not free,"political behavior, process",,1000
6997,2005,Belarus,Not free,"political behavior, process",,100s
6998,2005,Belarus,Not free,"political behavior, process",,100
6999,2006,Belarus,Not free,"political behavior, process",,10000
7000,2006,Belarus,Not free,"political behavior, process",,>6000
7001,2007,Belarus,Not free,"political behavior, process",,10000
7002,2008,Belarus,Not free,"price increases, tax policy",,3000
7003,2008,Belarus,Not free,"political behavior, process",,2000
7004,2008,Belarus,Not free,"political behavior, process",,500
7005,2009,Belarus,Not free,"political behavior, process",,4000
7006,2010,Belarus,Not free,"political behavior, process",removal of politician,10000s
7007,2011,Belarus,Not free,"political behavior, process",,100s
7008,2011,Belarus,Not free,"political behavior, process","price increases, tax policy",<1000
7009,2011,Belarus,Not free,"political behavior, process","price increases, tax policy",1000s
7010,2011,Belarus,Not free,"political behavior, process","price increases, tax policy",>50
7011,2011,Belarus,Not free,"political behavior, process",,150
7019,2018,Belarus,Not free,social restrictions,,hundreds
7020,2018,Belarus,Not free,"political behavior, process",,hundreds
7021,1990,Armenia,-,"political behavior, process",,150000
7022,1991,Armenia,Partly free,removal of politician,,10000
7023,1992,Armenia,Partly free,"price increases, tax policy",,400000
7024,1993,Armenia,Partly free,removal of politician,,100000
7025,1994,Armenia,Partly free,"political behavior, process",,20000
7026,1994,Armenia,Partly free,"price increases, tax policy",,50000
7027,1994,Armenia,Partly free,removal of politician,,6000
7028,1994,Armenia,Partly free,removal of politician,,15000
7029,1994,Armenia,Partly free,removal of politician,,50000
7030,1995,Armenia,Partly free,"political behavior, process",,2000
7031,1995,Armenia,Partly free,removal of politician,,25000
7032,1995,Armenia,Partly free,"political behavior, process",,10000
7033,1995,Armenia,Partly free,"political behavior, process",,15000
7034,1995,Armenia,Partly free,"political behavior, process",,15000
7035,1996,Armenia,Partly free,"political behavior, process",,100000
7036,1996,Armenia,Partly free,"political behavior, process",,100000
7037,1997,Armenia,Partly free,removal of politician,,10000
7038,1997,Armenia,Partly free,"political behavior, process",,5000
7039,1997,Armenia,Partly free,labor wage dispute,,15000
7040,1997,Armenia,Partly free,"political behavior, process",,20000
7041,1997,Armenia,Partly free,"political behavior, process",,15000
7042,1998,Armenia,Partly free,"political behavior, process",,200
7043,1998,Armenia,Partly free,"political behavior, process",,100
7044,1999,Armenia,Partly free,removal of politician,,300
7045,1999,Armenia,Partly free,"price increases, tax policy",,100
7046,2000,Armenia,Partly free,"political behavior, process",,100
7047,2000,Armenia,Partly free,"political behavior, process",,12000
7048,2000,Armenia,Partly free,removal of politician,,100
7049,2000,Armenia,Partly free,removal of politician,,1000
7050,2000,Armenia,Partly free,"political behavior, process",,100
7051,2000,Armenia,Partly free,removal of politician,,7000
7052,2001,Armenia,Partly free,removal of politician,,3000
7053,2001,Armenia,Partly free,removal of politician,,12000
7054,2002,Armenia,Partly free,"political behavior, process",,10000
7055,2002,Armenia,Partly free,"political behavior, process",,4000
7056,2002,Armenia,Partly free,"political behavior, process",,5000
7057,2002,Armenia,Partly free,removal of politician,,5000
7058,2002,Armenia,Partly free,removal of politician,,1000
7059,2003,Armenia,Partly free,"political behavior, process",,25000
7060,2003,Armenia,Partly free,"political behavior, process",,1000
7061,2004,Armenia,Partly free,removal of politician,,2000
7062,2004,Armenia,Partly free,removal of politician,,8000
7063,2004,Armenia,Partly free,police brutality,,1000
7064,2004,Armenia,Partly free,"political behavior, process",,100
7065,2005,Armenia,Partly free,"price increases, tax policy",,250
7066,2005,Armenia,Partly free,labor wage dispute,,100
7067,2005,Armenia,Partly free,police brutality,,1000
7068,2005,Armenia,Partly free,"political behavior, process",,500
7069,2005,Armenia,Partly free,"political behavior, process",,5000
7070,2005,Armenia,Partly free,"political behavior, process",,8000
7071,2005,Armenia,Partly free,"political behavior, process",,350
7072,2005,Armenia,Partly free,"political behavior, process",,250
7073,2006,Armenia,Partly free,police brutality,,500
7074,2007,Armenia,Partly free,social restrictions,,1000
7075,2007,Armenia,Partly free,"political behavior, process",,1000
7076,2007,Armenia,Partly free,"political behavior, process",,12000
7077,2008,Armenia,Partly free,"political behavior, process",,70000
7078,2008,Armenia,Partly free,police brutality,,250
7079,2008,Armenia,Partly free,police brutality,,1000
7080,2008,Armenia,Partly free,police brutality,,20000
7081,2008,Armenia,Partly free,"political behavior, process",,20000
7082,2008,Armenia,Partly free,"political behavior, process",,200
7083,2009,Armenia,Partly free,"political behavior, process",,500
7084,2009,Armenia,Partly free,police brutality,,25000
7085,2010,Armenia,Partly free,"political behavior, process",,1000
7086,2010,Armenia,Partly free,police brutality,,3000
7087,2010,Armenia,Partly free,removal of politician,,1000
7088,2010,Armenia,Partly free,police brutality,,100
7089,2010,Armenia,Partly free,labor wage dispute,,170
7090,2010,Armenia,Partly free,labor wage dispute,,100
7091,2011,Armenia,Partly free,"political behavior, process",labor wage dispute,9000
7092,2013,Armenia,Partly free,"political behavior, process",,5000
7093,2013,Armenia,Partly free,"political behavior, process",,12000
7094,2013,Armenia,Partly free,"political behavior, process",,3000
7095,2015,Armenia,Partly free,"price increases, tax policy","political behavior, process",50+
7096,2015,Armenia,Partly free,"political behavior, process","price increases, tax policy",50+
7097,2015,Armenia,Partly free,"political behavior, process",,100s
7098,2015,Armenia,Partly free,"political behavior, process",,50+
7099,2015,Armenia,Partly free,removal of politician,,5000
7100,2015,Armenia,Partly free,"political behavior, process",,4000
7101,2016,Armenia,Partly free,"political behavior, process",,1500+
7102,2016,Armenia,Partly free,"political behavior, process",,1000+
7103,2016,Armenia,Partly free,"political behavior, process",,1000s
7104,2016,Armenia,Partly free,"political behavior, process",,1000s
7105,2018,Armenia,Partly free,"political behavior, process",removal of politician,thousands
7106,2018,Armenia,Partly free,"political behavior, process",removal of politician,dozens
7107,2018,Armenia,Partly free,"political behavior, process",removal of politician,10000
7108,2018,Armenia,Partly free,"political behavior, process",removal of politician,40000
7109,2018,Armenia,Partly free,"political behavior, process",removal of politician,15000
7110,2018,Armenia,Partly free,"political behavior, process",removal of politician,10000
7111,2018,Armenia,Partly free,"political behavior, process",removal of politician,tens of thousands
7112,2018,Armenia,Partly free,"political behavior, process",removal of politician,50000
7113,2018,Armenia,Partly free,"political behavior, process",removal of politician,thousands
7114,2018,Armenia,Partly free,"political behavior, process",removal of politician,thousands
7115,2018,Armenia,Partly free,"political behavior, process",removal of politician,tens of thousands
7116,2018,Armenia,Partly free,"political behavior, process",removal of politician,thousands
7117,2018,Armenia,Partly free,"political behavior, process",removal of politician,tens of thousands
7118,2018,Armenia,Partly free,"political behavior, process",removal of politician,5000
7119,2018,Armenia,Partly free,"political behavior, process",removal of politician,30000
7120,2018,Armenia,Partly free,"political behavior, process",removal of politician,tens of thousands
7121,2018,Armenia,Partly free,police brutality,,hundreds
7122,2018,Armenia,Partly free,"political behavior, process",,thousands
7123,2019,Armenia,Partly free,police brutality,,10000
7124,1990,Georgia,-,"political behavior, process",,100000
7125,1990,Georgia,-,"political behavior, process",,800
7126,1991,Georgia,Not free,removal of politician,,5000
7127,1991,Georgia,Not free,"political behavior, process",removal of politician,1000
7128,1991,Georgia,Not free,removal of politician,,10000
7129,1991,Georgia,Not free,"political behavior, process",,1000
7130,1991,Georgia,Not free,removal of politician,,10000
7131,1992,Georgia,Partly free,"political behavior, process",,3000
7132,1992,Georgia,Partly free,"political behavior, process",,300
7133,1992,Georgia,Partly free,"political behavior, process",,1500
7134,1992,Georgia,Partly free,"political behavior, process",,4000
7135,1992,Georgia,Partly free,"political behavior, process",,1000
7136,1992,Georgia,Partly free,"political behavior, process",,1000
7137,1994,Georgia,Partly free,"political behavior, process",,1000
7138,1994,Georgia,Partly free,removal of politician,,200
7139,1994,Georgia,Partly free,"political behavior, process",,5000
7140,1995,Georgia,Partly free,"political behavior, process",,2000
7141,1995,Georgia,Partly free,"political behavior, process",,100
7142,1996,Georgia,Partly free,land farm issue,,80
7143,1996,Georgia,Partly free,"political behavior, process",,300
7144,1996,Georgia,Partly free,"political behavior, process",,10000
7145,1996,Georgia,Partly free,"political behavior, process",,3000
7146,1997,Georgia,Partly free,"political behavior, process",,2000
7147,1999,Georgia,Partly free,labor wage dispute,,250
7148,2001,Georgia,Partly free,labor wage dispute,,400
7149,2001,Georgia,Partly free,"political behavior, process",,100
7150,2001,Georgia,Partly free,"political behavior, process",,5000
7151,2003,Georgia,Partly free,"political behavior, process",,1000
7152,2003,Georgia,Partly free,"political behavior, process",,20000
7153,2003,Georgia,Partly free,removal of politician,,10000
7154,2004,Georgia,Partly free,"political behavior, process",,300
7155,2004,Georgia,Partly free,"political behavior, process",,1000
7156,2004,Georgia,Partly free,"political behavior, process",,800
7157,2005,Georgia,Partly free,police brutality,,50
7158,2007,Georgia,Partly free,police brutality,,15000
7159,2007,Georgia,Partly free,"political behavior, process",,10000
7160,2007,Georgia,Partly free,"political behavior, process",,1000
7161,2008,Georgia,Partly free,"political behavior, process",,1000
7162,2009,Georgia,Partly free,removal of politician,,10000
7163,2009,Georgia,Partly free,police brutality,,50
7164,2009,Georgia,Partly free,police brutality,,3000
7165,2011,Georgia,Partly free,removal of politician,,10000
7166,2011,Georgia,Partly free,removal of politician,,2000
7167,2012,Georgia,Partly free,police brutality,,100s-1000s
7168,2012,Georgia,Partly free,"political behavior, process",,100s
7169,2013,Georgia,Partly free,removal of politician,,100s
7170,2013,Georgia,Partly free,"political behavior, process",,50
7171,2014,Georgia,Partly free,removal of politician,,100s
7172,2014,Georgia,Partly free,removal of politician,,1000s
7173,2014,Georgia,Partly free,"political behavior, process",,50+
7174,2016,Georgia,Partly free,"political behavior, process",,1000s
